SID,Ticker,Exchange,Name,DateTimePulled_EST,Price,Ask,Bid,DayLow,DayHigh,Volume,MarketOpen,MarketClose,FiftyTwoWeekLow,FiftyTwoWeekHigh,FiftyDayAverage,FiftyTwoWeekChange,TwoHundredDayAverage,AverageVolume,TenDayAverageVolume,Country,Sector,Industry,LastDividendValue,PayoutRatio,ProfitMargins,FloatShares,ShortShares,ShortSharesMonthAgo,Employees,BookValue,EarningsQuarterlyGrowth,NetIncomeToCommon,SharesOutstanding,ShortRatio,Market,LongBusinessSummary
130,AADR,PCX,AdvisorShares Dorsey Wright ADR ETF,Feb  3 2021 11:27PM,63.820,63.930,63.750,63.730,63.890,2844,63.820,62.916,33.750,64.420,61.677,NULL,58.002,9387,5714,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,AAIC,NYQ,Arlington Asset Investment Corp.,Feb  3 2021 11:28PM,3.580,3.650,3.610,3.550,3.660,225936,3.580,3.620,1.400,6.770,3.813,NULL,3.106,243059,188600,United States,Real Estate,REIT—Mortgage,0.23,NULL,0.000,32659184,913933,1607990400,11,NULL,NULL,-54799000.00,33427700,4.220,us_market,"Arlington Asset Investment Corp. (NYSE: AI) is a principal investment firm that currently invests primarily in mortgage-related and other assets.  The Company is headquartered in the Washington, D.C. metropolitan area.  For more information, please visit www.arlingtonasset.com."
132,AAL,NMS,American Airlines Group Inc.,Feb  3 2021 11:28PM,16.610,17.290,17.220,16.490,17.720,61414802,16.610,16.590,8.250,30.780,16.026,NULL,13.704,81485580,115205828,United States,Industrials,Airlines,0.10,NULL,-0.512,615227438,152632087,1607990400,102700,-11.0490,NULL,-8885000192.00,621480000,2.580,us_market,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. It provides scheduled air transportation services for passengers and cargo. As of December 31, 2019, the company operated a mainline fleet of 942 aircraft. It serves 365 destinations in approximately 61 countries, principally from its hubs and gateways in Charlotte, Chicago, Dallas/Fort Worth, London Heathrow, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C. American Airlines Group Inc. has strategic partnership with JetBlue Airways Corp. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas."
133,AAMC,ASE,Altisource Asset Management Corporation,Feb  3 2021 11:28PM,22.000,22.050,19.030,21.600,22.050,3551,22.000,21.950,10.250,32.240,22.262,NULL,20.888,2929,3057,United States,Financial Services,Asset Management,NULL,0.000,-0.096,554174,6033,1607990400,109,-126.7290,NULL,-14802000.00,1650210,1.770,us_market,"Altisource Asset Management Corporation, an asset management company, provides portfolio management and corporate governance services to institutional investors in the United States. The company offers its services under an asset management agreement to Altisource Residential Corporation, which acquires and manages single-family rental properties for working class families. It also provides management services to NewSource Reinsurance Company Ltd. The company was founded in 2012 and is headquartered in Christiansted, Virgin Islands."
134,AAME,NGM,Atlantic American Corporation,Feb  3 2021 11:28PM,2.320,2.600,2.260,2.251,2.320,8371,2.320,2.240,1.580,3.480,2.282,NULL,2.105,28109,16314,United States,Financial Services,Insurance—Life,0.02,0.000,0.008,3146045,542,1607990400,151,6.2680,NULL,1192000.00,20414300,0.010,us_market,"Atlantic American Corporation, through its subsidiaries, provides life and health, and property and casualty insurance products in the United States. It operates through American Southern and Bankers Fidelity segments. The company offers property and casualty insurance products, including business automobile insurance coverage for state governments, local municipalities, and other motor pools and fleets; and inland marine and general liability insurance products. It also provides surety bond coverage for school bus transportation and subdivision construction, as well as performance and payment bonds. In addition, it provides term, individual and group whole life insurance, as well as medicare supplement and other accident and health insurance products. The company markets its products through independent agents and brokers. Atlantic American Corporation was founded in 1968 and is based in Atlanta, Georgia."
135,AAN,NYQ,"The Aaron's Company, Inc.",Feb  3 2021 11:28PM,18.370,18.550,17.580,17.890,18.554,248750,18.370,18.360,16.200,31.000,19.122,NULL,19.115,949326,427357,United States,Consumer Cyclical,Specialty Retail,0.04,0.000,-0.143,69157438,525866,1607990400,10100,24.4740,7.21,-248264992.00,33778500,0.710,us_market,"The Aarons Company Inc. provides lease-purchase solutions. It engages in direct-to-consumer sales and lease ownership of furniture, home appliances, consumer electronics, and accessories through its approximately 1,400 Company-operated and franchised stores in United States Canada, and Puerto Rico, as well as its e-commerce platform. It also manufactures and supplies bedding and upholstered furniture through company-operated and franchised stores. The company was formerly known as Aaron's SpinCo, Inc. The Aarons Company Inc. is headquartered in Atlanta, Georgia."
136,AAOI,NMS,"Applied Optoelectronics, Inc.",Feb  3 2021 11:28PM,10.720,10.860,10.330,10.610,11.010,439862,10.720,10.630,5.000,17.570,9.802,NULL,10.553,848595,1304285,United States,Technology,Semiconductors,NULL,0.000,-0.348,21701064,3820726,1607990400,3115,11.5860,NULL,-80442000.00,22976200,4.680,us_market,"Applied Optoelectronics, Inc. designs, manufactures, and sells various fiber-optic networking products worldwide. It offers optical modules, lasers, transmitters and transceivers, and turn-key equipment, as well as headend, node, and distribution equipment. The company sells its products to internet data center operators, cable television and telecommunications equipment manufacturers, and internet service providers through its direct and indirect sales channels. Applied Optoelectronics, Inc. was founded in 1997 and is headquartered in Sugar Land, Texas."
137,AAON,NMS,"AAON, Inc.",Feb  3 2021 11:28PM,75.460,75.630,75.460,75.000,76.760,138298,75.460,75.850,40.480,77.510,69.092,NULL,62.578,199345,242014,United States,Industrials,Building Products & Equipment,0.19,0.238,0.149,41232073,3537179,1607990400,2290,6.5990,0.43,77390000.00,52242100,17.770,us_market,"AAON, Inc., together with its subsidiaries, engages in engineering, manufacturing, marketing, and selling air conditioning and heating equipment in the United States and Canada. It offers rooftop units, chillers, packaged outdoor mechanical rooms, air handling units, makeup air units, energy recovery units, condensing units, geothermal and water-source heat pumps, self-contained units, coils, and controls. The company markets and sells its products to retail, manufacturing, educational, lodging, supermarket, medical, and other commercial industries. It sells its products through a network of manufacturers' representatives and internal sales force. The company was incorporated in 1987 and is based in Tulsa, Oklahoma."
138,AAP,NYQ,"Advance Auto Parts, Inc.",Feb  3 2021 11:28PM,155.110,154.750,155.280,152.135,156.330,1165488,155.110,154.080,71.330,177.920,161.162,NULL,155.055,1069493,1744042,United States,Consumer Cyclical,Specialty Retail,0.25,0.118,0.048,63465437,2997842,1607990400,39000,55.3460,0.19,476931008.00,67854496,3.210,us_market,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. Advance Auto Parts, Inc. operates its stores under the Advance Auto Parts, Autopart International, Carquest, and Worldpac brand names. As of December 28, 2019, it operated 4,877 stores and 160 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,253 independently owned Carquest branded stores in Mexico, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina."
139,AAPL,NMS,Apple Inc.,Feb  3 2021 11:28PM,135.760,136.560,136.550,133.610,135.740,82762729,135.760,134.990,53.153,145.090,132.391,NULL,119.266,108926825,129505171,United States,Technology,Consumer Electronics,0.20,0.218,0.217,16770972142,99897228,1607990400,147000,3.9360,0.29,63929999360.00,16788100096,0.880,us_market,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California."
140,AAT,NYQ,"American Assets Trust, Inc.",Feb  3 2021 11:28PM,27.740,45.000,28.210,27.300,28.260,153405,27.740,27.890,20.150,46.940,28.523,NULL,26.573,316280,274671,United States,Real Estate,REIT—Diversified,0.25,1.694,0.105,52589622,1082209,1607990400,199,21.2490,-0.61,37607000.00,60474900,4.140,us_market,"American Assets Trust, Inc. is a full service, vertically integrated and self-administered real estate investment trust, or REIT, headquartered in San Diego, California. The company has over 50 years of experience in acquiring, improving, developing and managing premier office, retail, and residential properties throughout the United States in some of the nation's most dynamic, high-barrier-to-entry markets primarily in Southern California, Northern California, Oregon, Washington, Texas and Hawaii. The company's office portfolio comprises approximately 3.4 million rentable square feet, and its retail portfolio comprises approximately 3.1 million square feet. In addition, the company owns one mixed-use property (including approximately 97,000 rentable square feet of retail space and a 369-room all-suite hotel) and 2,112 multifamily units. In 2011, the company was formed to succeed to the real estate business of American Assets, Inc., a privately held corporation founded in 1967 and, as such, has significant experience, long-standing relationships and extensive knowledge of its core markets, submarkets and asset classes."
141,AAU,ASE,Almaden Minerals Ltd.,Feb  3 2021 11:28PM,0.800,0.748,0.740,0.716,0.810,4848174,0.800,0.784,0.210,1.240,0.588,NULL,0.781,3914548,17192542,Canada,Basic Materials,Gold,NULL,0.000,0.000,114964799,598693,1607990400,9,0.4850,NULL,NULL,120549000,0.170,us_market,"Almaden Minerals Ltd., an exploration stage company, engages in the acquisition, exploration, and development of mineral properties in Canada and Mexico. The company primarily explores for gold, silver, and copper deposits. It holds a 100% interest in its principal property, the Ixtaca (Tuligtic) project that covers an area of approximately 7,200 hectares located in Puebla State, Mexico. The company was incorporated in 1980 and is headquartered in Vancouver, Canada."
142,AAWW,NMS,"Atlas Air Worldwide Holdings, Inc.",Feb  3 2021 11:28PM,52.400,54.000,51.770,51.660,53.620,415788,52.400,52.390,14.970,69.080,53.912,NULL,57.118,482533,515085,United States,Industrials,Airports & Air Services,NULL,0.000,-0.077,25579804,3122755,1607990400,3587,77.1820,0.23,-233926000.00,27517300,7.240,us_market,"Atlas Air Worldwide Holdings, Inc., through its subsidiaries, provides outsourced aircraft and aviation operating services. It operates through three segments: ACMI, Charter, and Dry Leasing. The company offers outsourced cargo and passenger aircraft operating solutions, including contractual service arrangements, such as the provision of aircraft; and value-added services, including crew, maintenance, and insurance to aircraft and other customers. It also provides cargo and passenger aircraft charter services to the U.S. Military Air Mobility Command, charter brokers, freight forwarders, direct shippers, airlines, sports teams and fans, and private charter customers; and aircraft and engines dry leasing services. In addition, the company offers administrative and management support services, and flight simulator training services. It also serves express delivery providers, e-commerce retailers, and airlines. The company has operations in Africa, Asia, Australia, Europe, the Middle East, North America, and South America. Atlas Air Worldwide Holdings, Inc. was founded in 1992 and is headquartered in Purchase, New York."
143,AAXJ,NMS,iShares MSCI All Country Asia ex Japan ETF,Feb  3 2021 11:28PM,98.190,99.500,97.340,97.660,98.308,1502477,98.190,97.500,52.950,99.590,92.638,NULL,82.879,1302222,986142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,AB,NYQ,AllianceBernstein Holding L.P.,Feb  3 2021 11:28PM,37.610,37.500,37.100,36.890,37.660,674627,37.610,36.890,13.240,38.060,34.776,NULL,30.906,399446,699014,United States,Financial Services,Asset Management,0.69,0.979,0.903,95739859,295476,1607990400,3811,15.5550,0.12,266206000.00,96174600,0.970,us_market,"AllianceBernstein Holding L.P. is publicly owned investment manager. The firm also provides research services to its clients. It provides its services to investment companies, pension and profit sharing plans, banks and thrift institutions, trusts, estates, government agencies, charitable organizations, individuals, corporations, and other business entities. The firm invests in public equity, fixed income, and alternative investment markets across the globe. It employs long/short strategy to make its investments. The firm conducts in-house research to make its investments. AllianceBernstein Holding L.P. was founded in 1987 and is based in New York, New York."
145,ABB,NYQ,ABB Ltd,Feb  3 2021 11:28PM,30.460,31.310,30.580,30.385,30.640,1772939,30.460,30.470,14.710,30.890,29.053,NULL,26.835,1847922,2081742,Switzerland,Industrials,Electrical Equipment & Parts,0.77,3.588,0.213,1718479479,2988047,1607990400,110000,8.0040,7.80,457000000.00,2058790016,1.590,us_market,"ABB Ltd manufactures and sells electrification, industrial automation, and robotics and motion products for customers in utilities, industry and transport, and infrastructure worldwide. Its Electrification Products segment provides electric vehicle charging infrastructure, solar power solutions, modular substation packages, distribution automation products, switchboard and panel boards, switchgears, UPS solutions, circuit breakers, measuring and sensing devices, control products, wiring accessories, enclosures and cabling systems, and intelligent home and building solutions. This segment serves building, data center, rail, wind and solar, distribution utilities, food and beverage, marine, e-mobility, and oil and gas industries. The company's Robotics and Motion segment offers robotics, motors, generators, drives, wind converters, components and systems for railways and related services, and digital solutions for applications in industries, transportation and infrastructure, and utilities. This segment serves machinery manufacturers, process industries, hybrid and batch manufacturers, transportation equipment manufacturers, discrete manufacturing companies, utilities, and customers in the automotive industry. Its Industrial Automation segment provides process and discrete control solutions, advanced process control software and manufacturing execution systems, sensing, measurement and analytical instrumentation and solutions, electric ship propulsion systems, machine and factory automation solutions, and turbochargers, as well as remote monitoring, preventive maintenance, and cybersecurity services. This segment serves companies in the oil and gas, minerals and mining, metals, pulp and paper, chemicals and pharmaceuticals, food and beverage, power generation, and marine industries. ABB Ltd has a strategic collaboration with IBM. ABB Ltd was founded in 1883 and is headquartered in Zurich, Switzerland."
146,ABBV,NYQ,AbbVie Inc.,Feb  3 2021 11:28PM,106.200,107.300,106.200,104.010,107.570,11774249,106.200,103.470,62.550,113.410,106.568,NULL,96.741,8070238,8611942,United States,Healthcare,Drug Manufacturers—General,1.30,0.994,0.182,1741887191,12594868,1607990400,47000,8.6500,0.23,7324000256.00,1765469952,1.750,us_market,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the United States, Japan, Germany, Canada, France, Spain, Italy, the Netherlands, the United Kingdom, Brazil, and internationally. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; VIEKIRA PAK, an interferon-free therapy to treat adults with genotype 1 chronic hepatitis C virus (HCV); TECHNIVIE to treat adults with genotype 4 HCV infection; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides SYNAGIS that protects at-risk infants from severe respiratory disease; KALETRA, a prescription anti-HIV-1 medicine; CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; and Lupron, a product for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; and Sevoflurane, an anesthesia product. It has collaborations with Calico Life Sciences LLC; Alector, Inc.; Janssen Biotech, Inc.; Frontier Medicines, Corp.; Jacobio Pharmaceuticals; I-Mab; and Genmab A/S. The company was incorporated in 2012 and is based in North Chicago, Illinois."
147,ABC,NYQ,AmerisourceBergen Corporation,Feb  3 2021 11:28PM,105.180,105.740,105.550,103.400,106.080,1257586,105.180,105.620,72.060,112.480,102.746,NULL,100.636,1162156,1048085,United States,Healthcare,Medical Distribution,0.44,NULL,-0.018,146971990,3040128,1607990400,21000,-4.9890,NULL,-3408716032.00,204615008,2.330,us_market,"AmerisourceBergen Corporation sources and distributes pharmaceutical products in the United States and internationally. Its Pharmaceutical Distribution segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, outsourced compounded sterile preparations, and related services to various healthcare providers, including acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and other alternate site pharmacies, and other customers. It also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; and packaging solutions to various institutional and retail healthcare providers. In addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics; and offers data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers. The company's Other segment provides integrated manufacturer services, such as clinical trial support, product post-approval, and commercialization support; offers specialty transportation and logistics services for the biopharmaceutical industry; and sells pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and various other products to customers in both the companion animal and production animal markets, as well as provides demand-creating sales force services to manufacturers. AmerisourceBergen Corporation was founded in 1985 and is headquartered in Chesterbrook, Pennsylvania."
148,ABCB,NMS,Ameris Bancorp,Feb  3 2021 11:28PM,41.110,42.040,41.990,40.800,42.060,306604,41.110,41.440,17.120,45.180,40.806,NULL,30.719,430625,460542,United States,Financial Services,Banks—Regional,0.15,0.159,0.279,65575542,2146581,1607990400,2671,38.1650,0.54,261988000.00,69541504,4.630,us_market,"Ameris Bancorp operates as the bank holding company for Ameris Bank that provides banking services to retail and commercial customers primarily in Georgia, Alabama, Florida, and South Carolina. The company operates through five segments: Banking Division, Retail Mortgage Division, Warehouse Lending Division, SBA Division, and Premium Finance Division. It offers commercial and retail checking, regular interest-bearing savings, money market, individual retirement, and certificates of deposit accounts. The company also provides commercial real estate, residential real estate mortgage, agricultural, and commercial and industrial loans; consumer loans, including motor vehicle, home improvement, and home equity loans, as well as loans secured by savings accounts and small unsecured personal credit lines; and municipal and commercial insurance premium finance loans. It operates 170 domestic banking offices and 31 mortgage and loan production offices. Ameris Bancorp was founded in 1971 and is headquartered in Atlanta, Georgia."
149,ABCL,NMS,AbCellera Biologics Inc.,Feb  3 2021 11:28PM,49.720,48.430,48.360,48.170,49.970,579123,49.720,47.950,36.270,71.910,45.049,NULL,45.587,1405751,818100,Canada,Healthcare,Biotechnology,NULL,0.000,0.010,78954823,4944772,1607990400,174,NULL,NULL,-283599.00,269188000,3.710,us_market,"AbCellera Biologics Inc. develops antibody discovery platform. Its full-stack, AI-powered drug discovery platform searches and analyzes the database of natural immune systems to find antibodies that can be developed as drugs. The company also develops next-generation transgenic mice that provide a source of fully-human antibodies for the discovery of therapeutic antibody candidates. It has a discovery partnership agreement with Eli Lilly and Company for the discovery of various targets. AbCellera Biologics Inc. was founded in 2012 and is headquartered in Vancouver, Canada."
150,ABCM,NMS,Abcam plc,Feb  3 2021 11:28PM,22.520,24.500,19.300,22.080,22.520,82382,22.520,22.740,17.710,24.690,21.626,NULL,20.299,180472,141514,United Kingdom,Healthcare,Biotechnology,NULL,2.027,0.048,185572223,240320,1607990400,1492,NULL,NULL,NULL,226692992,0.860,us_market,"Abcam plc, a life sciences company, researches, develops, and distributes biological reagents and tools for research, drug discovery, and diagnostics in the United States, China, Japan, Europe, the Middle East, Africa, and rest of Asia Pacific. The company offers various research products, including primary and secondary antibodies; ELISA and matched antibody pairs; cell and tissue imaging tools; cellular and biochemical assays; proteins and peptides; proteomics tools; agonists, antagonists, activators, and inhibitors; lysates; and multiplex assays. Its research products are used in the areas of cancer, cardiovascular, cell biology, developmental biology, epigenetics, nuclear signaling, immunology, metabolism, microbiology, neuroscience, signal transduction, and stem cells. Further, the company offers diagnostic and therapeutic solutions. The company also sells its products online. Abcam plc was founded in 1998 and is headquartered in Cambridge, the United Kingdom."
