SID,Ticker,Exchange,Name,Price,Ask,Bid,DayLow,DayHigh,Volume,MarketOpen,MarketClose,FiftyTwoWeekLow,FiftyTwoWeekHigh,FiftyDayAverage,FiftyTwoWeekChange,TwoHundredDayAverage,AverageVolume,TenDayAverageVolume,Country,Sector,Industry,LastDividendValue,PayoutRatio,ProfitMargins,FloatShares,ShortShares,ShortSharesMonthAgo,Employees,BookValue,EarningsQuarterlyGrowth,NetIncomeToCommon,SharesOutstanding,ShortRatio,Market,LongBusinessSummary
8524,AAPL,NMS,Apple Inc.,135.730,135.360,135.320,134.610,136.300,83305367,135.730,134.140,53.153,145.090,131.990,NULL,118.983,109564914,137205133,United States,Technology,Consumer Electronics,0.20,0.218,0.217,16770972142,99897228,1607990400,147000,3.9360,0.29,63929999360.00,16788100096,0.880,us_market,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California."
8525,AAT,NYQ,"American Assets Trust, Inc.",28.300,31.380,21.750,27.610,28.300,174856,28.300,28.130,20.150,46.940,28.548,NULL,26.562,318111,289950,United States,Real Estate,REIT—Diversified,0.25,1.694,0.105,52589622,1082209,1607990400,199,21.2490,-0.61,37607000.00,60474900,4.140,us_market,"American Assets Trust, Inc. is a full service, vertically integrated and self-administered real estate investment trust, or REIT, headquartered in San Diego, California. The company has over 50 years of experience in acquiring, improving, developing and managing premier office, retail, and residential properties throughout the United States in some of the nation's most dynamic, high-barrier-to-entry markets primarily in Southern California, Northern California, Oregon, Washington, Texas and Hawaii. The company's office portfolio comprises approximately 3.4 million rentable square feet, and its retail portfolio comprises approximately 3.1 million square feet. In addition, the company owns one mixed-use property (including approximately 97,000 rentable square feet of retail space and a 369-room all-suite hotel) and 2,112 multifamily units. In 2011, the company was formed to succeed to the real estate business of American Assets, Inc., a privately held corporation founded in 1967 and, as such, has significant experience, long-standing relationships and extensive knowledge of its core markets, submarkets and asset classes."
8526,AAU,ASE,Almaden Minerals Ltd.,0.778,0.811,0.760,0.710,0.816,10529892,0.778,0.929,0.210,1.240,0.585,NULL,0.779,3761016,18259516,Canada,Basic Materials,Gold,NULL,0.000,0.000,114964799,598693,1607990400,9,0.4850,NULL,NULL,120549000,0.170,us_market,"Almaden Minerals Ltd., an exploration stage company, engages in the acquisition, exploration, and development of mineral properties in Canada and Mexico. The company primarily explores for gold, silver, and copper deposits. It holds a 100% interest in its principal property, the Ixtaca (Tuligtic) project that covers an area of approximately 7,200 hectares located in Puebla State, Mexico. The company was incorporated in 1980 and is headquartered in Vancouver, Canada."
8527,AAWW,NMS,"Atlas Air Worldwide Holdings, Inc.",54.630,55.500,52.320,51.790,54.630,554340,54.630,54.200,14.970,69.080,53.976,NULL,57.100,480467,504516,United States,Industrials,Airports & Air Services,NULL,0.000,-0.077,25579804,3122755,1607990400,3587,77.1820,0.23,-233926000.00,27517300,7.240,us_market,"Atlas Air Worldwide Holdings, Inc., through its subsidiaries, provides outsourced aircraft and aviation operating services. It operates through three segments: ACMI, Charter, and Dry Leasing. The company offers outsourced cargo and passenger aircraft operating solutions, including contractual service arrangements, such as the provision of aircraft; and value-added services, including crew, maintenance, and insurance to aircraft and other customers. It also provides cargo and passenger aircraft charter services to the U.S. Military Air Mobility Command, charter brokers, freight forwarders, direct shippers, airlines, sports teams and fans, and private charter customers; and aircraft and engines dry leasing services. In addition, the company offers administrative and management support services, and flight simulator training services. It also serves express delivery providers, e-commerce retailers, and airlines. The company has operations in Africa, Asia, Australia, Europe, the Middle East, North America, and South America. Atlas Air Worldwide Holdings, Inc. was founded in 1992 and is headquartered in Purchase, New York."
8528,AAXJ,NMS,iShares MSCI All Country Asia ex Japan ETF,97.670,98.200,83.310,97.145,97.730,1417111,97.670,96.280,52.950,99.590,92.304,NULL,82.707,1297898,914250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8529,AB,NYQ,AllianceBernstein Holding L.P.,37.450,36.800,36.790,36.330,37.730,694611,37.450,36.120,13.240,38.060,34.630,NULL,30.843,395748,699516,United States,Financial Services,Asset Management,0.69,0.979,0.903,95739859,295476,1607990400,3811,15.5550,0.12,266206000.00,96174600,0.970,us_market,"AllianceBernstein Holding L.P. is publicly owned investment manager. The firm also provides research services to its clients. It provides its services to investment companies, pension and profit sharing plans, banks and thrift institutions, trusts, estates, government agencies, charitable organizations, individuals, corporations, and other business entities. The firm invests in public equity, fixed income, and alternative investment markets across the globe. It employs long/short strategy to make its investments. The firm conducts in-house research to make its investments. AllianceBernstein Holding L.P. was founded in 1987 and is based in New York, New York."
8530,ABB,NYQ,ABB Ltd,30.160,30.450,30.440,30.120,30.515,1666705,30.160,30.140,14.710,30.890,28.938,NULL,26.793,1842124,2148883,Switzerland,Industrials,Electrical Equipment & Parts,0.77,3.588,0.213,1718479479,2988047,1607990400,110000,8.0040,7.80,457000000.00,2058790016,1.590,us_market,"ABB Ltd manufactures and sells electrification, industrial automation, and robotics and motion products for customers in utilities, industry and transport, and infrastructure worldwide. Its Electrification Products segment provides electric vehicle charging infrastructure, solar power solutions, modular substation packages, distribution automation products, switchboard and panel boards, switchgears, UPS solutions, circuit breakers, measuring and sensing devices, control products, wiring accessories, enclosures and cabling systems, and intelligent home and building solutions. This segment serves building, data center, rail, wind and solar, distribution utilities, food and beverage, marine, e-mobility, and oil and gas industries. The company's Robotics and Motion segment offers robotics, motors, generators, drives, wind converters, components and systems for railways and related services, and digital solutions for applications in industries, transportation and infrastructure, and utilities. This segment serves machinery manufacturers, process industries, hybrid and batch manufacturers, transportation equipment manufacturers, discrete manufacturing companies, utilities, and customers in the automotive industry. Its Industrial Automation segment provides process and discrete control solutions, advanced process control software and manufacturing execution systems, sensing, measurement and analytical instrumentation and solutions, electric ship propulsion systems, machine and factory automation solutions, and turbochargers, as well as remote monitoring, preventive maintenance, and cybersecurity services. This segment serves companies in the oil and gas, minerals and mining, metals, pulp and paper, chemicals and pharmaceuticals, food and beverage, power generation, and marine industries. ABB Ltd has a strategic collaboration with IBM. ABB Ltd was founded in 1883 and is headquartered in Zurich, Switzerland."
8531,ABBV,NYQ,AbbVie Inc.,102.880,103.740,103.460,102.500,104.310,9743755,102.880,102.300,62.550,113.410,106.591,NULL,96.722,8075079,8300383,United States,Healthcare,Drug Manufacturers—General,1.30,0.994,0.182,1741887191,12594868,1607990400,47000,8.6500,0.23,7324000256.00,1765469952,1.750,us_market,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the United States, Japan, Germany, Canada, France, Spain, Italy, the Netherlands, the United Kingdom, Brazil, and internationally. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; VIEKIRA PAK, an interferon-free therapy to treat adults with genotype 1 chronic hepatitis C virus (HCV); TECHNIVIE to treat adults with genotype 4 HCV infection; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides SYNAGIS that protects at-risk infants from severe respiratory disease; KALETRA, a prescription anti-HIV-1 medicine; CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; and Lupron, a product for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; and Sevoflurane, an anesthesia product. It has collaborations with Calico Life Sciences LLC; Alector, Inc.; Janssen Biotech, Inc.; Frontier Medicines, Corp.; Jacobio Pharmaceuticals; I-Mab; and Genmab A/S. The company was incorporated in 2012 and is based in North Chicago, Illinois."
8532,ABC,NYQ,AmerisourceBergen Corporation,108.100,107.090,105.000,105.540,110.000,1226206,108.100,106.890,72.060,112.480,102.489,NULL,100.627,1166643,1015916,United States,Healthcare,Medical Distribution,0.44,NULL,-0.018,146971990,3040128,1607990400,21000,-4.9890,NULL,-3408716032.00,204615008,2.330,us_market,"AmerisourceBergen Corporation sources and distributes pharmaceutical products in the United States and internationally. Its Pharmaceutical Distribution segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, outsourced compounded sterile preparations, and related services to various healthcare providers, including acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and other alternate site pharmacies, and other customers. It also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; and packaging solutions to various institutional and retail healthcare providers. In addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics; and offers data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers. The company's Other segment provides integrated manufacturer services, such as clinical trial support, product post-approval, and commercialization support; offers specialty transportation and logistics services for the biopharmaceutical industry; and sells pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and various other products to customers in both the companion animal and production animal markets, as well as provides demand-creating sales force services to manufacturers. AmerisourceBergen Corporation was founded in 1985 and is headquartered in Chesterbrook, Pennsylvania."
8533,ABCB,NMS,Ameris Bancorp,42.050,41.490,41.440,40.592,42.050,296934,42.050,41.260,17.120,45.180,40.695,NULL,30.574,430817,485450,United States,Financial Services,Banks—Regional,0.15,0.159,0.279,65575542,2146581,1607990400,2671,38.1650,0.54,261988000.00,69541504,4.630,us_market,"Ameris Bancorp operates as the bank holding company for Ameris Bank that provides banking services to retail and commercial customers primarily in Georgia, Alabama, Florida, and South Carolina. The company operates through five segments: Banking Division, Retail Mortgage Division, Warehouse Lending Division, SBA Division, and Premium Finance Division. It offers commercial and retail checking, regular interest-bearing savings, money market, individual retirement, and certificates of deposit accounts. The company also provides commercial real estate, residential real estate mortgage, agricultural, and commercial and industrial loans; consumer loans, including motor vehicle, home improvement, and home equity loans, as well as loans secured by savings accounts and small unsecured personal credit lines; and municipal and commercial insurance premium finance loans. It operates 170 domestic banking offices and 31 mortgage and loan production offices. Ameris Bancorp was founded in 1971 and is headquartered in Atlanta, Georgia."
8534,ABCL,NMS,AbCellera Biologics Inc.,53.190,48.130,48.990,47.521,54.000,744173,53.190,53.200,36.270,71.910,45.112,NULL,45.517,1425217,830466,Canada,Healthcare,Biotechnology,NULL,0.000,0.010,78954823,4944772,1607990400,174,NULL,NULL,-283599.00,269188000,3.710,us_market,"AbCellera Biologics Inc. develops antibody discovery platform. Its full-stack, AI-powered drug discovery platform searches and analyzes the database of natural immune systems to find antibodies that can be developed as drugs. The company also develops next-generation transgenic mice that provide a source of fully-human antibodies for the discovery of therapeutic antibody candidates. It has a discovery partnership agreement with Eli Lilly and Company for the discovery of various targets. AbCellera Biologics Inc. was founded in 2012 and is headquartered in Vancouver, Canada."
8535,ABCM,NMS,Abcam plc,22.540,24.500,19.300,22.471,22.850,104063,22.540,22.650,17.710,24.690,21.530,NULL,20.264,182067,147733,United Kingdom,Healthcare,Biotechnology,NULL,2.027,0.048,185572223,240320,1607990400,1492,NULL,NULL,NULL,226692992,0.860,us_market,"Abcam plc, a life sciences company, researches, develops, and distributes biological reagents and tools for research, drug discovery, and diagnostics in the United States, China, Japan, Europe, the Middle East, Africa, and rest of Asia Pacific. The company offers various research products, including primary and secondary antibodies; ELISA and matched antibody pairs; cell and tissue imaging tools; cellular and biochemical assays; proteins and peptides; proteomics tools; agonists, antagonists, activators, and inhibitors; lysates; and multiplex assays. Its research products are used in the areas of cancer, cardiovascular, cell biology, developmental biology, epigenetics, nuclear signaling, immunology, metabolism, microbiology, neuroscience, signal transduction, and stem cells. Further, the company offers diagnostic and therapeutic solutions. The company also sells its products online. Abcam plc was founded in 1998 and is headquartered in Cambridge, the United Kingdom."
